local_designation|rb_factor_catalogue|ps1_designation|sherlock_distancempc|dec_psf|sherlock_host_ra|psf_inst_mag_sig|cal_psf_mag|sherlockClassification|detection_list_id|sherlock_object_id|filter|rb_factor_image|sherlock_tables|followup_flag_date|sherlock_specz|tns_name|ra_psf|id|sherlock_host_dec|target|ref|diff|mjd_obs
10EYSEein|0.71122|PS20dij||21.11401408739243||0.270008|21.3204|ORPHAN|GOOD||r|0.856617||2020-05-23||2020kva|184.466226834616|1121751901210650300||1121751901210650300_58992.346_104338953_84_target|1121751901210650300_58992.346_104338953_84_ref|1121751901210650300_58992.346_104338953_84_diff|59030.2754768785
10EYSEeiq|0.448694|PS20dlm||-5.388393493688393|189.789539082|0.306542|20.2132|SN|GOOD|101531897894794219|r|0.717165|PS1|2020-05-23||2020lev|189.7895457963839|1123909490052318300|-5.388332242|1123909490052318300_58995.275_104434941_272_target|1123909490052318300_58995.275_104434941_272_ref|1123909490052318300_58995.275_104434941_272_diff|59062.2720790431
10EYSEeju|0.96499|PS20diu|642.4513|-0.7389464200204107|189.704391|0.268127|20.7072|SN|GOOD|2MASXJ12384905-0044320|z|0.960197|NED/SDSS/PS1/GLADE/2MASS|2020-05-23|0.1363|2020kvj|189.70096681852112|1123848220004420000|-0.742245|1123848220004420000_58992.278_104331504_204_target|1123848220004420000_58992.278_104331504_204_ref|1123848220004420000_58992.278_104331504_204_diff|59042.2685561985
10EYSEeij|0.951359|PS20dii|520.026889|30.37178769388997|147.43586949363964|0.116034|19.758|NT|GOOD|SDSSJ094944.61+302218.8|i|0.963659|NED/SDSS/GAIA/2MASS/GLADE|2020-05-23|0.112073||147.43577876691924|1094944581302218200|30.37189117237383|1094944581302218200_58992.271_104331011_20_target|1094944581302218200_58992.271_104331011_20_ref|1094944581302218200_58992.271_104331011_20_diff|59000.2789414321
10EYSEejv|0.531617|PS20div||31.23971948188268|210.38750597967888|0.228738|21.0347|SN|GOOD|1237665023840747982|r|0.964623|SDSS/PS1|2020-05-23||2020kvk|210.38771511428433|1140133051311422700|31.239579349166508|1140133051311422700_58992.287_104332352_229_target|1140133051311422700_58992.287_104332352_229_ref|1140133051311422700_58992.287_104332352_229_diff|59024.2712951014
10EYSEeih|0.308895|PS20dig|107.21337|31.011921609894067|202.508875|0.100685|20.905|SN|GOOD|SDSSJ133002.12+310041.4|r|0.65859|NED/SDSS|2020-05-23|0.02457|2020kuz|202.50978193941683|1133002331310042700|31.01153|1133002331310042700_58992.285_104332114_246_target|1133002331310042700_58992.285_104332114_246_ref|1133002331310042700_58992.285_104332114_246_diff|58992.2852782308
10EYSEejy|0.821656|PS20dix||32.07175078967686|208.075420876|0.146476|21.054|SN|GOOD|1237665127478722912|i|0.996783|SDSS/PS1|2020-05-23||2020kvm|208.07551094594749|1135218121320418300|32.071526764|1135218121320418300_58992.287_104332371_266_target|1135218121320418300_58992.287_104332371_266_ref|1135218121320418300_58992.287_104332371_266_diff|59029.285565876
10EYSEeiv|0.494771|PS20dik|507.702292|38.421698961406534|219.9333604113623|0.201988|21.5639|SN|GOOD|1237661849870467240|i|0.583662|SDSS|2020-05-23|0.109596|2020kvb|219.92506552542963|1143942001382517900|38.42176158264263|1143942001382517900_58992.292_104332913_427_target|1143942001382517900_58992.292_104332913_427_ref|1143942001382517900_58992.292_104332913_427_diff|59051.2797497244
10EYSEeii|0.785776|PS20dih|219.0917486|20.14039211521701|178.6639982696379|0.244121|18.8289|NT|GOOD|1237667915954585876|r|0.971109|SDSS/GLADE|2020-05-23|0.0493056||178.6637702116463|1115439301200825300|20.140315042329327|1115439301200825300_58992.344_104338729_72_target|1115439301200825300_58992.344_104338729_72_ref|1115439301200825300_58992.344_104338729_72_diff|59254.5937268948
10EYSEocw|0.00135351|PS21dss|671.630817|13.849512863795791|229.866917|0.25062|20.1508|NT|CONFIRMED|2MASSJ15192805+1350580|r||NED/SDSS|2020-05-21|0.141978||229.86686791002114|1151928051135058200|13.84947|1151928051135058200_58958.532_103134985_282_target|1151928051135058200_58958.532_103134985_282_ref|1151928051135058200_58958.532_103134985_282_diff|59446.2549337922
10EYSEedo|0.749772|PS20dho|173.385213|9.152848157589641|187.730408|0.150747|20.6143|SN|CONFIRMED|2MASXJ12305529+0909044|r|0.977936|NED/SDSS/PS1/GLADE/2MASS|2020-05-21|0.039304|2020kpz|187.73105910343466|1123055451090910200|9.151242|1123055451090910200_58990.263_104281540_140_target|1123055451090910200_58990.263_104281540_140_ref|1123055451090910200_58990.263_104281540_140_diff|59404.2794855586
